frame x y z 
4170 4.60943 17.3902 0.113524
4174 4.59842 17.5602 0.125049
4181 3.96787 19.4294 0.607268
4185 3.91 19.3722 1.12372
4190 3.78492 19.3805 1.52466
4227 3.85768 17.5811 0.108647
4256 4.34328 17.7287 2.72049
4261 4.42022 18.3246 3.31657
4266 4.46787 18.732 3.54375
4271 4.52296 19.2304 3.57066
4276 4.58704 19.7024 3.35292
4281 4.59878 19.4546 3.0308
4301 4.54878 19.5786 2.36193
4306 4.69492 19.7447 1.7483
4310 4.7957 19.8024 1.08796
4314 4.46503 17.2566 0.0822622
-1 0 0 0
4327 5.14676 20.1603 1.41025
4338 5.39311 20.3814 1.17961
-1 0 0 0
4419 4.59135 17.4244 0.172764
4457 4.50595 16.9759 1.47075
4476 4.4686 17.4409 2.94033
4480 4.48977 18.1906 3.30897
4485 4.46099 18.586 3.54617
4490 4.46721 19.3119 3.57978
4496 4.41059 19.6976 3.39438
4500 4.42199 19.3884 2.9609
4509 4.64548 19.4796 2.54418
4515 4.79548 19.6322 1.98396
4520 4.93768 19.6901 1.14257
4525 5.07005 19.8089 0.152844
4538 5.10304 20.143 1.45881
4572 5.3325 20.5491 1.43029
4594 5.65088 20.0684 0.0401493
-1 0 0 0
4733 4.36031 14.6192 0.0677396
-1 0 0 0
4744 4.53691 16.5663 2.97281
4750 4.55011 17.5466 3.50958
4754 4.59766 18.3158 3.69134
4758 4.60599 18.9399 3.65867
4763 4.60533 19.6801 3.40736
4767 4.61753 19.4546 3.10991
4772 4.37699 19.4576 2.90442
4790 4.72213 19.3422 2.19178
4797 4.80334 19.0992 1.23106
4801 4.9164 19.0324 0.35908
4805 4.96105 18.9231 0.52327
4811 5.00014 18.794 1.18862
4815 5.02991 18.6991 1.46808
4820 5.04326 18.625 1.50375
4865 5.2201 17.2136 1.446
4931 4.38212 15.5584 1.33593
4944 4.20701 15.0095 0.198549
-1 0 0 0
4953 4.44297 16.934 3.0021
4957 4.4528 17.5724 3.31615
4965 4.46033 18.9337 3.4393
4970 4.42814 19.6355 3.13671
4980 4.38798 19.3227 3.14406
4992 4.54176 18.9775 2.94966
4996 4.60367 18.8097 2.63098
5000 4.62425 18.6837 2.18484
5004 4.68314 18.5494 1.46186
5008 4.66912 18.4246 0.707358
5015 4.83956 17.2275 1.59921
5025 4.52135 17.0664 0.146932
5032 4.83033 16.9677 1.54806
5076 4.50168 15.4117 1.51486
5103 4.52454 16.842 2.87655
5108 4.51082 17.6237 3.32251
5112 4.51118 18.3778 3.50735
5116 4.54287 18.9947 3.47402
5124 4.53966 19.4683 3.05739
5142 4.4631 19.5439 2.45086
5147 4.44818 19.7812 1.73663
5151 4.44896 19.8749 1.05257
5158 4.44382 20.1795 0.323064
5203 4.49726 20.9863 0.251779
5220 4.07343 21.0213 1.50519
-1 0 0 0
5308 3.22789 16.5748 0.250935
5383 4.78083 14.7832 1.64486
5424 4.5719 16.9843 3.31597
5429 4.57347 18.0146 3.63487
5433 4.57661 18.5732 3.59694
5438 4.55694 19.2857 3.36109
5444 4.4964 19.696 3.44246
5449 4.40648 19.6972 3.78496
5458 4.24713 19.7256 3.74492
5463 4.15973 19.6931 3.38796
5471 4.05064 19.5624 2.43299
5475 3.95329 19.6215 1.49116
5482 3.88329 19.5612 0.408733
5488 3.83888 17.1136 0.253846
-1 0 0 0
5493 3.72429 19.7323 1.71622
5506 3.56016 19.8869 1.65468
5512 3.51635 19.8327 1.01042
5530 3.54846 18.8835 0.227792
5551 3.52193 19.1678 0.342689
5587 3.60955 18.9376 0.189522
5662 3.45012 18.4616 1.57976
5673 3.69975 18.6794 0.307182
5677 3.83867 18.7751 0.242866
-1 0 0 0
5691 0.240778 19.2511 0.653375
-1 0 0 0
5699 3.90607 18.6446 1.71496
5707 4.05891 18.3861 1.72543
-1 0 0 0
5796 4.51382 15.3851 1.54451
5827 4.40602 14.7974 0.112194
-1 0 0 0
5838 4.44939 16.4625 2.71563
5843 4.40111 17.2682 3.2417
5847 4.387 17.8335 3.45484
5852 4.42939 18.6659 3.47299
5857 4.40457 19.2197 3.29104
5861 4.56828 19.5038 3.23488
5866 4.96235 19.4137 3.39449
5870 5.28882 19.3069 3.33585
5875 5.68635 19.2061 3.0284
5879 5.99707 19.1251 2.56661
5884 6.28742 19.0431 1.98002
5888 6.65053 18.9227 0.998724
5892 6.96319 18.8437 0.180435
5900 7.38744 18.7429 1.25497
5910 7.9422 18.6814 1.73274
5919 8.34419 18.644 1.27132
-1 0 0 0
6078 4.32562 16.1594 0.997791
6086 4.48467 17.6388 3.30979
6091 4.49614 18.2292 3.59693
6095 4.5203 18.9713 3.71711
-1 0 0 0
