frame x y z 
717 6.96288 16.6185 0.155013
718 7.01053 16.6834 0.205522
719 7.04139 16.7924 0.4551
720 7.20543 16.9301 0.593119
721 7.26378 17.0432 0.718938
722 7.16932 17.0099 0.875485
723 7.21025 17.0902 0.997533
724 7.245 17.1731 1.10787
725 7.28358 17.2842 1.23483
726 7.32107 17.3644 1.31736
727 7.36025 17.4476 1.39279
728 7.40516 17.5302 1.44028
729 7.43261 17.6092 1.49121
730 7.47878 17.6923 1.53311
731 7.50932 17.7759 1.56976
732 7.55506 17.8596 1.57982
733 7.58994 17.9323 1.5825
734 7.62966 18.0156 1.59154
735 7.67259 18.1023 1.58424
736 7.70993 18.1879 1.55613
737 7.70864 18.1848 -3.22732
738 7.70735 18.1817 -8.02164
739 7.81115 18.4301 1.40452
740 7.85543 18.5063 1.34332
741 7.85414 18.5032 -3.4836
742 7.92569 18.6679 1.17276
743 7.96094 18.7419 1.06697
744 7.99902 18.8212 0.965841
745 8.04021 18.899 0.850508
746 8.07612 18.9747 0.715307
747 8.10951 19.0486 0.573734
748 8.14488 19.1465 0.392938
749 8.28535 19.2962 0.156346
750 8.24344 19.3044 0.158947
751 8.30563 19.3748 0.152884
752 8.31033 19.4087 0.33706
753 8.4932 19.6132 0.432371
754 8.37583 19.5374 0.595977
755 8.42819 19.6431 0.711598
756 8.47522 19.7165 0.774852
757 8.50913 19.7772 0.83134
758 8.5478 19.8481 0.898713
759 8.58184 19.9118 0.916762
760 8.62572 19.9779 0.939314
761 8.65292 20.0408 0.963982
762 8.69251 20.1048 0.981909
763 8.69122 20.1017 -4.08408
764 8.68993 20.0986 -9.16094
765 8.68864 20.0956 -14.2487
766 8.68735 20.0925 -19.3473
767 8.68606 20.0894 -24.4567
768 8.68477 20.0863 -29.5771
769 8.68348 20.0832 -34.7082
770 8.68219 20.0801 -39.8503
771 9.11458 20.8412 0.535989
772 9.13682 20.8902 0.485345
773 9.17094 20.962 0.35663
774 9.34676 21.1722 0.122133
775 9.29797 21.1519 0.149293
776 9.34386 21.2155 0.140305
777 9.34257 21.2124 -5.07783
778 9.50474 21.4422 0.330243
779 9.36849 21.3503 0.473917
780 9.3672 21.3472 -4.77682
781 9.36591 21.3441 -10.0384
782 9.36462 21.3411 -15.3109
783 9.36333 21.338 -20.5942
784 9.36204 21.3349 -25.8884
785 9.36075 21.3318 -31.1935
786 9.35946 21.3287 -36.5094
787 9.35817 21.3256 -41.8362
788 9.35688 21.3226 -47.1739
789 9.35559 21.3195 -52.5224
790 9.3543 21.3164 -57.8818
791 9.35301 21.3133 -63.2521
792 9.35172 21.3102 -68.6332
793 9.35043 21.3071 -74.0252
794 9.34914 21.3041 -79.4281
795 9.34785 21.301 -84.8418
796 9.34656 21.2979 -90.2665
797 9.34527 21.2948 -95.7019
798 9.34398 21.2917 -101.148
799 9.34269 21.2886 -106.605
800 9.3414 21.2856 -112.074
801 9.34011 21.2825 -117.552
802 10.1125 21.9759 0.168556
803 10.173 21.9556 0.136514
804 10.1881 21.9202 0.121404
805 10.2271 21.8897 0.12617
806 10.2506 21.8564 0.132783
807 10.2814 21.8135 0.137522
808 10.3514 21.785 0.0916226
809 10.3383 21.7252 0.114781
810 10.351 21.6733 0.115405
811 10.3733 21.6108 0.121917
812 10.4123 21.5765 0.104274
813 10.4378 21.5353 0.113598
814 10.47 21.4921 0.102711
815 10.4911 21.4384 0.110137
816 10.4933 21.384 0.108987
817 10.5299 21.3441 0.111059
818 10.5626 21.2971 0.119255
819 10.5815 21.2513 0.113162
820 10.5983 21.2037 0.105858
821 10.6331 21.1719 0.10144
822 10.6596 21.1368 0.095668
823 10.6577 21.0639 0.107906
824 10.6901 21.0208 0.103972
825 10.7344 20.9722 0.0993238
826 10.7526 20.9285 0.0947882
827 10.7551 20.8739 0.0998735
828 10.796 20.8422 0.0938905
829 10.8224 20.8009 0.0981429
830 10.8378 20.7557 0.0925995
831 10.8541 20.7134 0.103359
832 10.8822 20.6632 0.105655
833 10.8902 20.6019 0.122239
834 10.9293 20.5509 0.112689
835 10.9092 20.4722 0.132824
836 10.9357 20.4283 0.128344
837 10.9652 20.4066 0.130604
838 10.9744 20.3258 0.129376
839 10.9731 20.3227 -5.76251
840 10.9718 20.3196 -11.6653
841 10.9705 20.3166 -17.5789
842 10.9692 20.3135 -23.5034
843 10.9679 20.3104 -29.4387
844 10.9667 20.3073 -35.385
845 10.9654 20.3042 -41.342
846 10.9641 20.3011 -47.31
847 10.9628 20.2981 -53.2888
848 10.9615 20.295 -59.2785
849 10.9602 20.2919 -65.2791
850 10.9589 20.2888 -71.2905
851 10.9576 20.2857 -77.3128
852 10.9563 20.2826 -83.3459
853 10.955 20.2796 -89.39
854 10.9538 20.2765 -95.4449
855 10.9525 20.2734 -101.511
856 10.9512 20.2703 -107.587
857 10.9499 20.2672 -113.675
858 10.9486 20.2641 -119.773
859 10.9473 20.2611 -125.882
860 10.946 20.258 -132.002
861 10.9447 20.2549 -138.133
862 10.9434 20.2518 -144.275
863 10.9421 20.2487 -150.428
864 10.9409 20.2456 -156.591
865 10.9396 20.2426 -162.766
866 10.9383 20.2395 -168.951
867 10.937 20.2364 -175.147
868 10.9357 20.2333 -181.354
869 10.9344 20.2302 -187.572
870 10.9331 20.2271 -193.801
871 10.9318 20.2241 -200.041
872 10.9305 20.221 -206.291
873 10.9292 20.2179 -212.553
874 10.928 20.2148 -218.825
875 10.9267 20.2117 -225.108
876 10.9254 20.2086 -231.402
877 10.9241 20.2056 -237.707
878 10.9228 20.2025 -244.022
879 10.9215 20.1994 -250.349
880 10.9202 20.1963 -256.686
881 10.9189 20.1932 -263.035
882 10.9176 20.1901 -269.394
883 10.9163 20.1871 -275.764
884 10.9151 20.184 -282.145
885 10.9138 20.1809 -288.537
886 10.9125 20.1778 -294.939
887 10.9112 20.1747 -301.353
888 10.9099 20.1716 -307.777
889 10.9086 20.1686 -314.212
890 10.9073 20.1655 -320.658
891 10.906 20.1624 -327.115
892 10.9047 20.1593 -333.583
893 10.9034 20.1562 -340.062
894 10.9022 20.1532 -346.552
895 10.9009 20.1501 -353.052
896 10.8996 20.147 -359.563
897 10.8983 20.1439 -366.085
898 10.897 20.1408 -372.619
899 10.8957 20.1377 -379.162
900 10.8944 20.1347 -385.717
901 10.8931 20.1316 -392.283
902 10.8918 20.1285 -398.859
903 10.8905 20.1254 -405.447
904 10.8893 20.1223 -412.045
905 10.888 20.1192 -418.654
906 7.63068 13.7927 0.0121882
907 7.62939 13.7896 -6.61866
908 7.6281 13.7865 -13.2604
909 7.62681 13.7835 -19.9129
910 7.62552 13.7804 -26.5764
911 7.62423 13.7773 -33.2507
912 7.62294 13.7742 -39.9359
913 7.62165 13.7711 -46.6319
914 7.62036 13.768 -53.3389
915 7.61907 13.765 -60.0566
916 7.61778 13.7619 -66.7853
917 7.61649 13.7588 -73.5248
918 7.6152 13.7557 -80.2752
919 7.61391 13.7526 -87.0364
920 7.61262 13.7495 -93.8085
921 7.61133 13.7465 -100.592
922 7.61004 13.7434 -107.385
923 7.60875 13.7403 -114.19
924 7.60746 13.7372 -121.006
925 7.60617 13.7341 -127.832
926 7.60488 13.731 -134.669
927 7.60359 13.728 -141.518
928 7.6023 13.7249 -148.377
929 7.60101 13.7218 -155.247
930 7.59972 13.7187 -162.127
931 7.59843 13.7156 -169.019
932 7.59714 13.7125 -175.922
933 7.59585 13.7095 -182.835
934 7.59456 13.7064 -189.759
935 7.59327 13.7033 -196.694
936 7.59198 13.7002 -203.64
937 7.59069 13.6971 -210.597
938 7.5894 13.694 -217.565
939 7.58811 13.691 -224.544
940 7.58682 13.6879 -231.533
941 7.58553 13.6848 -238.533
942 7.58424 13.6817 -245.544
943 7.58295 13.6786 -252.567
944 7.58166 13.6755 -259.599
945 7.58037 13.6725 -266.643
946 7.57908 13.6694 -273.698
947 7.57779 13.6663 -280.763
948 7.5765 13.6632 -287.84
949 7.57521 13.6601 -294.927
950 7.57392 13.657 -302.025
951 7.57263 13.654 -309.134
952 7.57134 13.6509 -316.254
953 7.57005 13.6478 -323.385
954 7.56876 13.6447 -330.526
955 7.56747 13.6416 -337.679
956 7.56618 13.6385 -344.842
957 7.56489 13.6355 -352.016
958 7.5636 13.6324 -359.201
959 10.3236 15.2446 0.171129
960 10.3897 15.2891 0.191823
961 10.2019 15.1548 0.246363
962 10.2006 15.1517 -6.98217
963 10.1993 15.1486 -14.2216
964 10.198 15.1456 -21.4718
965 10.1967 15.1425 -28.733
966 10.1954 15.1394 -36.005
967 10.1942 15.1363 -43.2878
968 10.1929 15.1332 -50.5816
969 10.1916 15.1301 -57.8862
970 10.1903 15.1271 -65.2016
971 10.189 15.124 -72.528
972 10.1877 15.1209 -79.8652
973 10.1864 15.1178 -87.2132
974 10.1851 15.1147 -94.5722
975 10.1838 15.1116 -101.942
976 10.1825 15.1086 -109.323
977 10.1813 15.1055 -116.714
978 10.18 15.1024 -124.117
979 10.1787 15.0993 -131.53
980 10.1774 15.0962 -138.954
981 10.1761 15.0931 -146.389
982 10.1748 15.0901 -153.835
983 10.1735 15.087 -161.292
984 10.1722 15.0839 -168.759
985 10.1709 15.0808 -176.238
986 10.1696 15.0777 -183.727
987 10.1684 15.0746 -191.227
988 10.1671 15.0716 -198.738
989 10.1658 15.0685 -206.26
990 10.1645 15.0654 -213.793
991 10.1632 15.0623 -221.337
992 10.1619 15.0592 -228.891
993 10.1606 15.0561 -236.457
994 10.1593 15.0531 -244.033
995 10.158 15.05 -251.62
996 10.1567 15.0469 -259.218
997 10.1555 15.0438 -266.827
998 10.1542 15.0407 -274.447
999 10.1529 15.0376 -282.077
1000 10.1516 15.0346 -289.719
1001 10.1503 15.0315 -297.371
1002 10.149 15.0284 -305.034
1003 10.1477 15.0253 -312.709
1004 10.1464 15.0222 -320.393
1005 10.1451 15.0191 -328.089
1006 10.1438 15.0161 -335.796
1007 10.1426 15.013 -343.513
1008 10.1413 15.0099 -351.242
1009 10.14 15.0068 -358.981
1010 10.1387 15.0037 -366.731
1011 10.1374 15.0006 -374.492
1012 10.1361 14.9976 -382.264
1013 10.1348 14.9945 -390.047
1014 10.1335 14.9914 -397.841
1015 10.1322 14.9883 -405.645
1016 10.1309 14.9852 -413.46
1017 10.1297 14.9822 -421.287
1018 10.1284 14.9791 -429.124
1019 10.1271 14.976 -436.972
1020 10.1258 14.9729 -444.831
1021 10.1245 14.9698 -452.7
1022 10.1232 14.9667 -460.581
1023 10.1219 14.9637 -468.472
1024 10.1206 14.9606 -476.374
1025 10.1193 14.9575 -484.288
1026 10.118 14.9544 -492.212
1027 10.1168 14.9513 -500.147
1028 10.1155 14.9482 -508.092
1029 10.1142 14.9452 -516.049
1030 10.1129 14.9421 -524.016
1031 10.1116 14.939 -531.995
1032 10.1103 14.9359 -539.984
1033 10.109 14.9328 -547.984
1034 10.1077 14.9297 -555.995
1035 10.1064 14.9267 -564.017
1036 10.1051 14.9236 -572.05
1037 10.1039 14.9205 -580.093
1038 10.1026 14.9174 -588.148
1039 10.1013 14.9143 -596.213
1040 10.1 14.9112 -604.289
1041 10.0987 14.9082 -612.376
1042 10.0974 14.9051 -620.474
1043 10.0961 14.902 -628.583
1044 10.0948 14.8989 -636.702
1045 10.0935 14.8958 -644.833
1046 10.0922 14.8927 -652.974
1047 10.091 14.8897 -661.126
1048 10.0897 14.8866 -669.289
1049 10.0884 14.8835 -677.463
1050 10.0871 14.8804 -685.648
1051 10.0858 14.8773 -693.844
1052 10.0845 14.8742 -702.051
1053 10.0832 14.8712 -710.268
1054 10.0819 14.8681 -718.496
1055 10.0806 14.865 -726.735
1056 10.0793 14.8619 -734.985
1057 10.0781 14.8588 -743.246
1058 10.0768 14.8557 -751.518
1059 10.0755 14.8527 -759.801
1060 10.0742 14.8496 -768.094
1061 10.0729 14.8465 -776.399
1062 10.0716 14.8434 -784.714
1063 10.0703 14.8403 -793.04
1064 10.069 14.8373 -801.377
1065 10.0677 14.8342 -809.725
1066 10.0664 14.8311 -818.084
1067 10.0652 14.828 -826.453
1068 10.0639 14.8249 -834.834
1069 10.0626 14.8218 -843.225
1070 10.0613 14.8188 -851.627
1071 10.06 14.8157 -860.04
1072 10.0587 14.8126 -868.464
1073 10.0574 14.8095 -876.899
1074 10.0561 14.8064 -885.344
1075 10.0548 14.8033 -893.801
1076 10.0535 14.8003 -902.268
1077 10.0523 14.7972 -910.746
1078 10.051 14.7941 -919.236
1079 10.0497 14.791 -927.736
1080 10.0484 14.7879 -936.246
1081 10.0471 14.7848 -944.768
1082 10.0458 14.7818 -953.301
1083 10.0445 14.7787 -961.844
1084 10.0432 14.7756 -970.398
1085 10.0419 14.7725 -978.964
1086 10.0406 14.7694 -987.54
1087 10.0394 14.7663 -996.127
1088 10.0381 14.7633 -1004.72
1089 10.0368 14.7602 -1013.33
1090 10.0355 14.7571 -1021.95
1091 10.0342 14.754 -1030.58
1092 10.0329 14.7509 -1039.22
1093 10.0316 14.7478 -1047.88
1094 10.0303 14.7448 -1056.54
1095 10.029 14.7417 -1065.21
1096 10.0277 14.7386 -1073.9
1097 10.0265 14.7355 -1082.59
1098 10.0252 14.7324 -1091.3
1099 10.0239 14.7293 -1100.02
1100 10.0226 14.7263 -1108.75
1101 10.0213 14.7232 -1117.48
1102 10.02 14.7201 -1126.23
1103 10.0187 14.717 -1135
1104 10.0174 14.7139 -1143.77
1105 10.0161 14.7108 -1152.55
1106 10.0148 14.7078 -1161.34
1107 10.0136 14.7047 -1170.15
